vehicle,technology,DF_nox_no2,DF_nmvoc,DF_co,DF_pm10,DF_pm25
tractors,stage_I,0.0104,0.0156,0.043766667,0.204966667,0.204966667
tractors,stage_II,0.003,0.011333333,0.033666667,0.157666667,0.157666667
tractors,stage_IIIa,0.0016,0.0054,0.0302,0.0946,0.0946
tractors,stage_IIIb,0.000533333,0.0018,0.010066667,0.031533333,0.031533333
tractors,Udiesel,0.0144,0.0282,0.111,0.2838,0.2838
harvesters,stage_I,0.01344,0.02016,0.05656,0.26488,0.26488
harvesters,stage_II,0.00396,0.01496,0.04444,0.20812,0.20812
harvesters,stage_IIIa,0.00192,0.00648,0.03624,0.11352,0.11352
harvesters,stage_IIIb,0.00064,0.00216,0.01208,0.03784,0.03784
harvesters,Udiesel,0.0192,0.0376,0.148,0.3784,0.3784
