vehicle,power_min,power_max,technology,EF_nox_no2,EF_co,EF_nmvoc,EF_nh3,EF_pm10,EF_pm25,EF_ch4,EF_n2o,EF_so2,EF_co2
tractors,,37,Udiesel,18,5.5,2.2,0.002,1.4,1.4,0.053,0.035,0.00562,887.96
tractors,,37,stage_I,9.8,4.5,1.8,0.002,1.4,1.4,0.043,0.035,0.00524,827.92
tractors,,37,stage_II,6.5,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.00524,827.92
tractors,,37,stage_IIIa,6.08,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0052,821.6
tractors,,37,stage_IIIb,6.29,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0052,821.6
tractors,37,56,Udiesel,11.5,4.5,1.5,0.002,0.8,0.8,0.036,0.035,0.0052,821.6
tractors,37,56,stage_I,7.7,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0052,821.6
tractors,37,56,stage_II,5.5,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.0052,821.6
tractors,37,56,stage_IIIa,3.81,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.0052,821.6
tractors,37,56,stage_IIIb,3.81,2.2,0.28,0.002,0.025,0.025,0.007,0.035,0.00562,887.96
tractors,56,75,Udiesel,11.5,4.5,1.5,0.002,0.8,0.8,0.036,0.035,0.00524,827.92
tractors,56,75,stage_I,7.7,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.00524,827.92
tractors,56,75,stage_II,5.5,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.00524,827.92
tractors,56,75,stage_IIIa,3.81,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.0052,821.6
tractors,56,75,stage_IIIb,2.97,2.2,0.28,0.002,0.025,0.025,0.007,0.035,0.0052,821.6
tractors,75,130,Udiesel,13.3,3.5,1.2,0.002,0.4,0.4,0.029,0.035,0.0051,805.8
tractors,75,130,stage_I,8.1,1.5,0.4,0.002,0.2,0.2,0.01,0.035,0.0051,805.8
tractors,75,130,stage_II,5.2,1.5,0.3,0.002,0.2,0.2,0.007,0.035,0.0051,805.8
tractors,75,130,stage_IIIa,3.24,1.5,0.3,0.002,0.2,0.2,0.007,0.035,0.0051,805.8
tractors,75,130,stage_IIIb,2.97,1.5,0.13,0.002,0.025,0.025,0.003,0.035,0.0051,805.8
harvesters,,37,Udiesel,18,5.5,2.2,0.002,1.4,1.4,0.053,0.035,0.0052,821.6
harvesters,,37,stage_I,9.8,4.5,1.8,0.002,1.4,1.4,0.043,0.035,0.0052,821.6
harvesters,,37,stage_II,6.5,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0052,821.6
harvesters,,37,stage_IIIa,6.08,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0052,821.6
harvesters,,37,stage_IIIb,6.29,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0052,821.6
harvesters,37,56,Udiesel,11.5,4.5,1.5,0.002,0.8,0.8,0.036,0.035,0.0052,821.6
harvesters,37,56,stage_I,7.7,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.0051,805.8
harvesters,37,56,stage_II,5.5,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.0051,805.8
harvesters,37,56,stage_IIIa,3.81,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.0051,805.8
harvesters,37,56,stage_IIIb,3.81,2.2,0.28,0.002,0.025,0.025,0.007,0.035,0.0051,805.8
harvesters,56,75,Udiesel,11.5,4.5,1.5,0.002,0.8,0.8,0.036,0.035,0.005,790
harvesters,56,75,stage_I,7.7,2.2,0.6,0.002,0.4,0.4,0.014,0.035,0.005,790
harvesters,56,75,stage_II,5.5,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.005,790
harvesters,56,75,stage_IIIa,3.81,2.2,0.4,0.002,0.2,0.2,0.01,0.035,0.005,790
harvesters,56,75,stage_IIIb,2.97,2.2,0.28,0.002,0.025,0.025,0.007,0.035,0.0054,853.2
harvesters,75,130,Udiesel,13.3,3.5,1.2,0.002,0.4,0.4,0.029,0.035,0.0051,805.8
harvesters,75,130,stage_I,8.1,1.5,0.4,0.002,0.2,0.2,0.01,0.035,0.0051,805.8
harvesters,75,130,stage_II,5.2,1.5,0.3,0.002,0.2,0.2,0.007,0.035,0.0051,805.8
harvesters,75,130,stage_IIIa,3.24,1.5,0.3,0.002,0.2,0.2,0.007,0.035,0.0051,805.8
harvesters,75,130,stage_IIIb,2.97,1.5,0.13,0.002,0.025,0.025,0.003,0.035,0.0051,805.8
harvesters,130,,Udiesel,11.2,2.5,0.5,0.002,0.4,0.4,0.012,0.035,0.0051,805.8
harvesters,130,,stage_I,7.6,1.5,0.3,0.002,0.2,0.2,0.007,0.035,0.005,790
harvesters,130,,stage_II,5.2,1.5,0.3,0.002,0.1,0.1,0.007,0.035,0.005,790
harvesters,130,,stage_IIIa,3.24,1.5,0.3,0.002,0.1,0.1,0.007,0.035,0.005,790
harvesters,130,,stage_IIIb,1.8,1.5,0.13,0.002,0.025,0.025,0.003,0.035,0.005,790
rotavators,,,Udiesel,11.2,5,2.5,0.002,1.6,1.6,0.06,0.035,0.0054,853.2
rotavators,,10,Upetrol,4.02,567,28.7,0.002,1.5,1.5,1.4,0.03,0.00792,1266.012
rotavators,10,,Upetrol,4.04,433,19.1,0.002,1.4,1.4,0.96,0.03,0.00772,1234.042
