"nuts3_id","technology","tractors","harvesters","rotavators"
"22","default",0,0,0
"22","stage_I",0,0,0
"22","stage_II",0,0,0
"22","stage_IIIa",0,0,0
"22","stage_IIIb",0,0,0
"22","Udiesel",0,0,0
"44","default",0,0,0
"44","stage_I",0,0,0
"44","stage_II",0,0,0
"44","stage_IIIa",0,0,0
"44","stage_IIIb",0,0,0
"44","Udiesel",0,0,0
"50","default",0,0,0
"50","stage_I",0,0,0
"50","stage_II",0,0,0
"50","stage_IIIa",0,0,0
"50","stage_IIIb",0,0,0
"50","Udiesel",0,0,0
"08","default",,321.8,50
"08","stage_I",745.36,,
"08","stage_II",844.2,,
"08","stage_IIIa",1014.44,,
"08","stage_IIIb",1042.87,,
"08","Udiesel",536.32,,
"17","default",,321.8,50
"17","stage_I",745.36,,
"17","stage_II",844.2,,
"17","stage_IIIa",1014.44,,
"17","stage_IIIb",1042.87,,
"17","Udiesel",536.32,,
"25","default",,321.8,50
"25","stage_I",745.36,,
"25","stage_II",844.2,,
"25","stage_IIIa",1014.44,,
"25","stage_IIIb",1042.87,,
"25","Udiesel",536.32,,
"43","default",,321.8,50
"43","stage_I",745.36,,
"43","stage_II",844.2,,
"43","stage_IIIa",1014.44,,
"43","stage_IIIb",1042.87,,
"43","Udiesel",536.32,,
"03","default",0,0,0
"03","stage_I",0,0,0
"03","stage_II",0,0,0
"03","stage_IIIa",0,0,0
"03","stage_IIIb",0,0,0
"03","Udiesel",0,0,0
"12","default",0,0,0
"12","stage_I",0,0,0
"12","stage_II",0,0,0
"12","stage_IIIa",0,0,0
"12","stage_IIIb",0,0,0
"12","Udiesel",0,0,0
"46","default",0,0,0
"46","stage_I",0,0,0
"46","stage_II",0,0,0
"46","stage_IIIa",0,0,0
"46","stage_IIIb",0,0,0
"46","Udiesel",0,0,0
