nuts2_id,land_use,area
09,1,249897419.59
09,2,736924609.773
09,3,294059145.451
09,4,28875000
09,5,8570442.08115
09,6,15059012.3096
09,7,37877663.3971
09,8,6250000.00001
09,9,23239061.4557
09,10,34876576.5623
09,11,72269395.1641
09,12,4029347953.68
09,13,1787279409.72
09,14,246086657.111
09,15,860812949.664
09,16,1338971040.03
09,17,1283077881.79
09,18,257130764.429
09,19,139136.722706
09,20,474535715.188
09,21,585378604.467
09,23,5076357151.18
09,24,7789820589.04
09,25,114627941.949
09,26,901476157.169
09,27,1131075453.24
09,28,3622430823.35
09,29,490006130.592
09,30,26387170.5856
09,31,295979633.299
09,32,92287194.7875
09,33,4875000
09,35,2312500
09,37,28945104.7997
09,38,10209425.6209
09,40,35345171.7732
09,41,83577604.7156
09,42,16311133.7475
09,44,20974350.9167
09,48,1614589.6304
