plane_id,airport_id,operation,1,2,3,4,5,6,7,8,9,10,11,12
A124-A,LEBL,arrival,0,0,0,0,0,0,0,0,0,1,0,0
A124-A,LEBL,departure,0,0,0,0,0,0,0,0,0,1,0,0
A124-A,LEGE,arrival,0,0,0,0,0,0,0,1,0,0,0,0
A124-A,LEGE,departure,0,0,0,0,0,0,0,1,0,0,0,0
A306-F,LEBL,arrival,1,3,1,1,1,0,0,0,2,5,3,8
A306-F,LEBL,departure,1,3,1,1,1,0,0,0,2,5,3,8
A30B-B,LEBL,arrival,0,0,0,0,0,0,0,0,0,0,0,0
A30B-B,LEBL,departure,0,0,0,0,0,0,0,0,0,0,0,0
A310-B,LEBL,arrival,3,0,1,2,8,7,12,12,6,4,0,0
A310-B,LEBL,departure,3,0,1,2,8,7,12,11,7,4,0,0
A318-A,LEBL,arrival,24,32,31,17,20,19,22,11,22,24,23,33
A318-A,LEBL,departure,24,32,31,17,20,19,22,11,22,24,23,33
A319-D,LEBL,arrival,470,473,543,619,711,721,738,758,704,665,479,469
A319-D,LEBL,departure,470,473,543,618,712,721,738,758,704,666,478,470
A319-D,LEGE,arrival,0,0,0,0,0,0,1,2,2,0,0,0
A319-D,LEGE,departure,0,0,0,0,0,0,1,2,2,0,0,0
A320-F,LEBL,arrival,2174,2020,2470,2982,3096,3197,3482,3391,3035,2719,2227,2134
A320-F,LEBL,departure,2175,2022,2467,2985,3096,3195,3493,3385,3031,2717,2225,2132
A320-F,LEGE,arrival,4,4,5,3,1,2,2,1,5,1,0,1
A320-F,LEGE,departure,4,4,5,3,1,2,2,1,5,1,0,1
A321-G,LEBL,arrival,276,312,445,453,517,522,539,669,703,675,537,494
A321-G,LEBL,departure,276,310,446,452,517,523,537,670,703,675,537,495
A332-E,LEBL,arrival,75,66,84,87,106,124,121,112,115,98,89,90
A332-E,LEBL,departure,75,66,84,87,106,124,121,112,115,98,89,90
A333-G,LEBL,arrival,12,11,20,37,32,44,52,62,51,42,15,8
A333-G,LEBL,departure,12,11,20,37,32,44,52,62,51,42,15,8
A343-C,LEBL,arrival,9,8,8,9,8,8,11,12,10,12,10,10
A343-C,LEBL,departure,9,8,8,9,8,8,11,12,10,12,10,10
A346-B,LEBL,arrival,0,0,0,0,1,1,0,0,0,0,0,0
A346-B,LEBL,departure,0,0,0,0,1,1,0,0,0,0,0,0
A359-A,LEBL,arrival,0,0,0,0,0,0,0,0,0,2,0,0
A359-A,LEBL,departure,0,0,0,0,0,0,0,0,0,2,0,0
A388-B,LEBL,arrival,15,14,15,15,15,15,15,15,15,15,15,16
A388-B,LEBL,departure,15,14,15,15,15,15,15,15,15,15,15,16
