engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
10AL026,0.000563,1.38e-07,0.00109,0.138,6.776e-06,6.776e-06,0.4347,6.9e-05
10IA011,0.0007905,2.17e-05,0.002889,0.31,5.086e-05,5.086e-05,0.9765,0.000155
10IA012,0.0007433,2.282e-05,0.003159,0.326,5.987e-05,5.987e-05,1.0269,0.000163
10IA013,0.000738,2.296e-05,0.003195,0.328,6.167e-05,6.167e-05,1.0332,0.000164
10IA014,0.000738,2.296e-05,0.003195,0.328,6.167e-05,6.167e-05,1.0332,0.000164
10IA015,0.000738,2.296e-05,0.003195,0.328,6.167e-05,6.167e-05,1.0332,0.000164
10IA016,0.0006386,2.322e-05,0.004226,0.387,0.0001035,0.0001035,1.21905,0.0001935
10IA017,0.0006237,2.43e-05,0.004552,0.405,0.0001199,0.0001199,1.27575,0.0002025
10PW096,0.0008342,3.476e-05,0.009863,0.869,4.682e-05,4.682e-05,2.73735,0.0004345
10PW097,0.0007671,3.568e-05,0.01037,0.892,4.81e-05,4.81e-05,2.8098,0.000446
10PW098,0.0006296,3.816e-05,0.01171,0.954,5.154e-05,5.154e-05,3.0051,0.000477
10PW099,0.0005385,3.916e-05,0.01247,0.979,5.299e-05,5.299e-05,3.08385,0.0004895
11BR011,0.001311,2.21e-07,0.001726,0.221,1.083e-05,1.083e-05,0.69615,0.0001105
11CM067,0.001348,2.144e-05,0.002144,0.268,1.736e-05,1.736e-05,0.8442,0.000134
11CM068,0.001216,2.037e-05,0.00243,0.291,1.869e-05,1.869e-05,0.91665,0.0001455
11CM069,0.001216,2.037e-05,0.00243,0.291,1.869e-05,1.869e-05,0.91665,0.0001455
11CM070,0.001133,1.848e-05,0.002649,0.308,1.961e-05,1.961e-05,0.9702,0.000154
11CM071,0.001133,1.848e-05,0.002649,0.308,1.961e-05,1.961e-05,0.9702,0.000154
11CM072,0.001016,1.655e-05,0.002956,0.331,2.088e-05,2.088e-05,1.04265,0.0001655
11CM073,0.001016,1.655e-05,0.002956,0.331,2.088e-05,2.088e-05,1.04265,0.0001655
11CM074,0.001016,1.655e-05,0.002956,0.331,2.088e-05,2.088e-05,1.04265,0.0001655
11CM075,0.001016,1.655e-05,0.002956,0.331,2.088e-05,2.088e-05,1.04265,0.0001655
