apu_id,hc,co,nox_no2,pm10,pm25,fuel,co2,so2
131-9,1.1877e-05,0.000156648,0.000213144,9.25925925925926e-06,8.33333333333333e-06,0.0321,0.101115,1.605e-05
30-54,3.7497e-05,0.00031581,3.1059e-05,9.25925925925926e-06,8.33333333333333e-06,0.0087,0.027405,4.35e-06
331-200ER,1.4534e-05,0.000139594,0.000321438,9.25925925925926e-06,8.33333333333333e-06,0.0338,0.10647,1.69e-05
331-350,1.3133e-05,0.000106206,0.00056529,9.25925925925926e-06,8.33333333333333e-06,0.0571,0.179865,2.855e-05
331-500,1.35e-05,0.000127575,0.000770175,9.25925925925926e-06,8.33333333333333e-06,0.0675,0.212625,3.375e-05
36-100,1.0488e-05,0.00057224,9.8072e-05,9.25925925925926e-06,8.33333333333333e-06,0.0184,0.05796,9.2e-06
36-150[ ],1.1468e-05,0.00012126,9.588e-05,9.25925925925926e-06,8.33333333333333e-06,0.0188,0.05922,9.4e-06
36-150[RR],1.1319e-05,0.000167706,0.000122199,9.25925925925926e-06,8.33333333333333e-06,0.0231,0.072765,1.155e-05
36-300,4.17e-06,5.699e-05,0.00028078,9.25925925925926e-06,8.33333333333333e-06,0.0278,0.08757,1.39e-05
36-4A,6.084e-06,0.000227643,8.619e-05,9.25925925925926e-06,8.33333333333333e-06,0.0169,0.053235,8.45e-06
600-4,2.7048e-05,0.00083559,0.000514878,9.25925925925926e-06,8.33333333333333e-06,0.0966,0.30429,4.83e-05
700-4B,2.1571e-05,0.000217459,0.000479809,9.25925925925926e-06,8.33333333333333e-06,0.0583,0.183645,2.915e-05
85-129,3.0488e-05,0.000532504,0.0001406,9.25925925925926e-06,8.33333333333333e-06,0.0296,0.09324,1.48e-05
85-98CK,3.0488e-05,0.000532504,0.0001406,9.25925925925926e-06,8.33333333333333e-06,0.0296,0.09324,1.48e-05
PW901A,0.00016305,0.001823986,0.000342405,9.25925925925926e-06,8.33333333333333e-06,0.1087,0.342405,5.435e-05
ST6L-73,1.108e-06,2.77e-06,0.00049306,9.25925925925926e-06,8.33333333333333e-06,0.0554,0.17451,2.77e-05
