engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
10AL026,0.0002871,3.88e-08,0.006204,0.388,1.902e-05,1.902e-05,1.2222,0.000194
10IA011,0.0003586,3.26e-05,0.01494,0.815,0.0002178,0.0002178,2.56725,0.0004075
10IA012,0.0003815,3.468e-05,0.01669,0.867,0.0002202,0.0002202,2.73105,0.0004335
10IA013,0.0003841,2.619e-05,0.0169,0.873,0.0002182,0.0002182,2.74995,0.0004365
10IA014,0.0003841,2.619e-05,0.0169,0.873,0.0002182,0.0002182,2.74995,0.0004365
10IA015,0.0003841,2.619e-05,0.0169,0.873,0.0002182,0.0002182,2.74995,0.0004365
10IA016,0.000442,3.234e-05,0.02579,1.078,0.0002263,0.0002263,3.3957,0.000539
10IA017,0.0004682,2.284e-05,0.02929,1.142,0.0002094,0.0002094,3.5973,0.000571
10PW096,0.0008649,4.942e-05,0.08083,2.471,0.0001448,0.0001448,7.78365,0.0012355
10PW097,0.0008711,5.124e-05,0.08724,2.562,0.0001524,0.0001524,8.0703,0.001281
10PW098,0.0008989,5.618e-05,0.1061,2.809,0.0001771,0.0001771,8.84835,0.0014045
10PW099,0.0009288,5.992e-05,0.1233,2.996,0.000202,0.000202,9.4374,0.001498
11BR011,0.000208,6.5e-08,0.008658,0.65,9.259e-05,9.259e-05,2.0475,0.000325
11CM067,0.0001716,2.238e-05,0.01007,0.746,6.053e-05,6.053e-05,2.3499,0.000373
11CM068,0.0001414,2.496e-05,0.01221,0.832,7.303e-05,7.303e-05,2.6208,0.000416
11CM069,0.0001414,2.496e-05,0.01221,0.832,7.303e-05,7.303e-05,2.6208,0.000416
11CM070,0.0001343,2.685e-05,0.01396,0.895,8.213e-05,8.213e-05,2.81925,0.0004475
11CM071,0.0001343,2.685e-05,0.01396,0.895,8.213e-05,8.213e-05,2.81925,0.0004475
11CM072,0.0001578,1.972e-05,0.01684,0.986,9.605e-05,9.605e-05,3.1059,0.000493
11CM073,0.0001578,1.972e-05,0.01684,0.986,9.605e-05,9.605e-05,3.1059,0.000493
11CM074,0.0001578,1.972e-05,0.01684,0.986,9.605e-05,9.605e-05,3.1059,0.000493
11CM075,0.0001578,1.972e-05,0.01684,0.986,9.605e-05,9.605e-05,3.1059,0.000493
11CM076,0.0001578,1.972e-05,0.01684,0.986,9.605e-05,9.605e-05,3.1059,0.000493
11CM077,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
11CM078,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
11CM079,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
11CM080,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
11CM081,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
11CM082,0.0001753,2.062e-05,0.01844,1.031,0.0001091,0.0001091,3.24765,0.0005155
11GE134,0.002407,3.106e-05,0.01426,1.553,7.84e-05,7.84e-05,4.89195,0.0007765
11GE135,0.00145,3.334e-05,0.01837,1.667,8.415e-05,8.415e-05,5.25105,0.0008335
11GE136,0.0007072,3.722e-05,0.02719,1.861,9.394e-05,9.394e-05,5.86215,0.0009305
11GE137,0.000582,3.88e-05,0.03154,1.94,9.793e-05,9.793e-05,6.111,0.00097
11GE138,0.0004889,4.074e-05,0.03764,2.037,0.0001028,0.0001028,6.41655,0.0010185
11GE139,0.0005634,4.024e-05,0.0361,2.012,0.0001016,0.0001016,6.3378,0.001006
11GE140,0.0002149,5.056e-05,0.009505,0.632,4.797e-05,4.797e-05,1.9908,0.000316
11GE141,0.0002462,5.472e-05,0.01144,0.684,5.888e-05,5.888e-05,2.1546,0.000342
11GE142,0.0004898,6.53e-05,0.009775,0.653,5.062e-05,5.062e-05,2.05695,0.0003265
11GE143,0.0004898,6.53e-05,0.009775,0.653,5.062e-05,5.062e-05,2.05695,0.0003265
11GE144,0.0005521,6.453e-05,0.01163,0.717,6.187e-05,6.187e-05,2.25855,0.0003585
11GE145,0.0005521,6.453e-05,0.01163,0.717,6.187e-05,6.187e-05,2.25855,0.0003585
11GE146,0.0005521,6.453e-05,0.01163,0.717,6.187e-05,6.187e-05,2.25855,0.0003585
11GE147,0.0005521,6.453e-05,0.01163,0.717,6.187e-05,6.187e-05,2.25855,0.0003585
11HN003,0.0001814,1.728e-05,0.004657,0.288,9.158e-05,9.158e-05,0.9072,0.000144
11HN005,0.0001848,1.848e-05,0.005064,0.308,9.794e-05,9.794e-05,0.9702,0.000154
11PJ001,0.0002351,2.612e-05,0.00907,0.653,0.000238,0.000238,2.05695,0.0003265
11PJ002,0.0002073,2.764e-05,0.01003,0.691,0.0002585,0.0002585,2.17665,0.0003455
11PW100,0.0001973,2.74e-08,0.003746,0.274,1.361e-05,1.361e-05,0.8631,0.000137
11RR048,0.0005738,3.02e-05,0.009302,0.604,6.477e-05,6.477e-05,1.9026,0.000302
12GE148,0.002244,3.138e-05,0.01523,1.569,7.92e-05,7.92e-05,4.94235,0.0007845
12GE149,0.001346,3.366e-05,0.01964,1.683,8.496e-05,8.496e-05,5.30145,0.0008415
12GE150,0.0006754,3.752e-05,0.02882,1.876,9.47e-05,9.47e-05,5.9094,0.000938
12GE151,0.0005667,3.908e-05,0.0333,1.954,9.864e-05,9.864e-05,6.1551,0.000977
12GE152,0.000482,4.102e-05,0.03958,2.051,0.0001035,0.0001035,6.46065,0.0010255
12GE153,0.000482,4.102e-05,0.03958,2.051,0.0001035,0.0001035,6.46065,0.0010255
