plane_id,engine_id,engine_n,mtow,apu_id,plane_type
B738-D,8CM051,2,78.5,131-9,medium
A320-F,3CM026,2,77,36-300,medium
A319-D,3CM027,2,77,36-300,medium
A321-G,3IA008,2,89,36-300,medium
ATR-72,PW127F,2,23,36-150[ ],medium
ATR-42,PW127E,2,18.6,36-150[ ],medium
CRJ9-A,8GE110,2,36.995,36-150[RR],medium
C172-A,FOCA-1,1,1.04511861861862,,piston
PA32-A,FOCA-4,1,1.79260563063063,,piston
E190-B,11GE146,2,54.5,36-150[ ],medium
CRJ2-B,5GE084,2,19.026,36-150[RR],medium
C550-A,1PW036,2,6.72511111111111,,business
CRJX-A,8GE104,2,36.995,36-150[RR],medium
A332-E,14RR071,2,212,331-350,jumbo
B737-D,3CM032,2,69.4,131-9,medium
B752-D,5RR038,2,108.8,331-200ER,medium
B733-A,1CM004,2,61.235,85-129,medium
PA23-A,FOCA-3,2,1.24959834834835,,piston
B712-A,4BR005,2,54.9823273273273,85-129,medium
E145-A,4AL003,2,22.5,36-150[ ],medium
A333-G,14RR071,2,212,331-350,jumbo
A346-B,8RR045,4,271,331-350,jumbo
B190,PT6A65B ,2,7.764,,medium
B734-B,1CM007,2,62.82,85-129,medium
DA42-A,FOCA-7,2,15.649,,piston
B763-I,12PW101,2,184.612,331-200ER,jumbo
B753-C,5RR039,2,122.469,331-200ER,medium
GLF2-A,8RR043,2,31.6716381381381,36-150[RR],medium
E135-A,6AL019,2,22.5,36-150[ ],medium
CL60-E,5GE084,2,21.9020510510511,85-129,medium
H25B-A,1AS002,2,41.1231456456456,,business
CL30-A,11HN003,2,17.622,36-150[RR],business
LJ25-A,1PW037,2,15.649,,business
A343-C,2CM015,4,271,331-350,jumbo
B788-A,11GE136,2,351.5,331-500,jumbo
B773-B,2RR027,2,351.5,331-500,jumbo
P68-A,FOCA-2,2,2.08751084084084,,piston
B772-F,8GE100,2,286.9,331-500,jumbo
P66P-A,FOCA-9,1,9.17886786786787,,piston
F900-A,1AS002,3,20.6751726726727,36-150[RR],business
C04T-A,FOCA-20,2,2.86271621621622,,piston
G250-A,7PW077,2,15.8358190690691,36-150[RR],business
E35L-B,6AL019,2,22.5,36-150[ ],business
B739-A,8CM051,2,74.389,131-9,medium
E55P-A,1AS001,2,8.15,36-150[ ],business
FA50-A,1AS002,3,18.5394954954955,36-150[RR],business
C82-A,FOCA-9,2,6.58879129129129,,piston
B764-A,2GE055,2,184.612,331-200ER,jumbo
F100-A,1RR020,2,44.45,36-150[RR],business
C500-A,1PW035,2,5.38508728228228,,business
A318-A,7CM048,2,77,36-300,medium
C510-A,1PW035,2,3.92828280780781,,business
E170-A,8GE108,2,37.2,36-150[ ],medium
