"Code","Xhousing","EF_nmvoc"
cattle_01,0.56,6.252
cattle_02,1,6.252
cattle_03,0.3,6.252
cattle_04,1,6.252
cattle_05,0.36,6.252
cattle_06,0.28,6.252
cattle_07,0,6.252
cattle_08,0.68,6.252
cattle_09,0,6.252
cattle_10,1,12.992
cattle_11,0,6.252
pigs_01,1,0.551
pigs_02,1,0.551
pigs_03,1,0.551
pigs_04,1,0.551
pigs_05,0.46,0.551
pigs_06,0.46,0.551
pigs_07,0.86,1.704
pigs_08,0.91,1.704
pigs_09,0.89,1.704
pigs_10,0.82,1.704
sheep_01,1,0.224
sheep_02,0.2,0.224
sheep_03,0,0.224
sheep_04,1,0.224
sheep_06,1,0.224
sheep_05,0,0.224
sheep_07,0,0.224
goats_01,0.34,0.583
goats_02,0.26,0.583
goats_03,0.28,0.583
goats_04,0.3,0.583
goats_05,1,0.583
goats_06,0,0.583
chicken_01,1,0.165
chicken_02,1,0.108
