crop,code,beta_1,beta_2,beta_3,thau_1,thau_2,thau_3,sigma_1,sigma_2,sigma_3
alfalfa,crop_01,0.5,0,0.5,105,1,288,30,1,30
almond,crop_02,0.2,0.6,0.2,58,154,250,30,60,30
apple,crop_03,0.2,0.6,0.2,74,135,196,30,60,30
apricot,crop_04,0.2,0.6,0.2,74,135,196,30,60,30
barley,crop_05,0.1,0.7,0.2,332,winter,209,22,39,31
cherry,crop_06,0.2,0.6,0.2,74,135,196,30,60,30
cotton,crop_07,0.8,0,0.2,104.5,177,337,29.5,16,48
fig,crop_08,0.2,0.6,0.2,74,135,196,30,60,30
grape,crop_09,0.2,0.6,0.2,35,148,260,30,60,30
lemonlime,crop_10,0.2,0.6,0.2,120,196,273,30,60,30
maize,crop_11,0.6,0.2,0.2,88,spring,337,32.5,25,52.5
melonetc,crop_12,0.2,0.6,0.2,135,195,255,30,60,30
oats,crop_13,0.1,0.7,0.2,319,winter,181,30,39,22.5
olive,crop_14,0.2,0.6,0.2,120,225,330,30,60,30
orange,crop_15,0.2,0.6,0.2,150,272,30,30,60,30
pea,crop_16,0.8,0,0.2,320,28,90,30,60,30
peachetc,crop_17,0.2,0.6,0.2,74,135,196,30,60,30
pear,crop_18,0.2,0.6,0.2,74,135,196,30,60,30
potato,crop_19,0.2,0.6,0.2,76,137,257,30,60,60
rice,crop_20,0.6,0.2,0.2,56,162,301,32.5,16,30.5
rye,crop_21,0.1,0.7,0.2,274,winter,212,32,39,31
sunflower,crop_22,0.1,0.7,0.2,104,169,304,45,16,47
tangetc,crop_23,0.2,0.6,0.2,120,196,273,30,60,30
tomato,crop_24,0.2,0.6,0.2,74,149,224,30,60,30
triticale,crop_25,0.1,0.7,0.2,328,69,175,9,16,16
vetch,crop_26,0.8,0,0.2,320,28,90,30,60,30
watermelon,crop_27,0.2,0.6,0.2,135,210,285,30,60,30
wheat,crop_28,0.1,0.7,0.2,332,winter,211,32,39,34.5
