"P_hour","operation","day_type","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"GCFV","arrival","weekend",0,0,0,0,0,0,0,0,0.0799992000079999,0.039999600004,0.0799992000079999,0.0866691333086669,0.046669533304667,0.046669533304667,0.0599994000059999,0.039999600004,0.039999600004,0.0666693333066669,0.0599994000059999,0.0933290667093329,0.119998800012,0.0799992000079999,0.0533294667053329,0.00666993330066699
"GCFV","arrival","weekday",0,0,0,0,0,0,0,0,0.0725592744072559,0.0599394006059939,0.044159558404416,0.0977890221097789,0.0599394006059939,0.0473195268047319,0.0725592744072559,0.0725592744072559,0.0599394006059939,0.0788592114078859,0.0567794322056779,0.0662493375066249,0.10409895901041,0.0504694953050469,0.03469965300347,0.022079779202208
"GCFV","departure","weekend",0.00667,0,0,0,0,0,0,0,0.00667,0.1,0.01333,0.09333,0.09333,0.04667,0.04,0.05333,0.05333,0.04,0.05333,0.06667,0.10667,0.10667,0.08667,0.03333
"GCFV","departure","weekday",0,0,0,0,0,0,0,0,0.012660126601266,0.0854408544085441,0.050630506305063,0.050630506305063,0.101271012710127,0.0664606646066461,0.034810348103481,0.0791107911079111,0.0759507595075951,0.0759507595075951,0.0664606646066461,0.047470474704747,0.0727807278072781,0.113921139211392,0.028480284802848,0.037970379703797
"GCGM","arrival","weekend",0,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0.111111111111111,0,0,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0,0,0,0,0
"GCGM","arrival","weekday",0,0,0,0,0,0,0,0,0,0.22727454549091,0.0454509090181804,0,0.0454509090181804,0.0454509090181804,0.136362727254545,0,0.181823636472729,0.181823636472729,0.136362727254545,0,0,0,0,0
"GCGM","departure","weekend",0,0,0,0,0,0,0,0,0,0.222222222222222,0,0.222222222222222,0,0,0,0,0.111111111111111,0.111111111111111,0.333333333333333,0,0,0,0,0
"GCGM","departure","weekday",0,0,0,0,0,0,0,0,0,0.045450454504545,0.181821818218182,0.045450454504545,0,0.045450454504545,0.181821818218182,0,0.181821818218182,0.0909109091090911,0.227272272722727,0,0,0,0,0
"GCHI","arrival","weekend",0.0526310526210524,0,0,0,0,0,0,0,0,0.105262105242105,0.0526310526210524,0.263165263305266,0.105262105242105,0.105262105242105,0,0.0526310526210524,0.105262105242105,0.0526310526210524,0.105262105242105,0,0,0,0,0
"GCHI","arrival","weekday",0,0,0,0,0,0,0,0,0,0.166668333316667,0,0.305556944430556,0.111108888911111,0.0833291667083329,0,0.027779722202778,0.138888611113889,0,0.166668333316667,0,0,0,0,0
