code,EF_nox_no2,EF_so2,EF_nmvoc,EF_co,EF_nh3,EF_pm10,EF_pm25,EF_co2,EF_ch4
YB_001,3,1.582,36.17,183.9,0.002,10,10,2479.785,3.955
YB_002,3,1.582,170.45,426.9,0.002,10,10,2479.785,3.955
SB_001,2,1.582,42.61,183.9,0.002,10,10,2479.785,3.955
SB_002,2,1.582,254.69,426.9,0.002,10,10,2479.785,3.955
SP_001,3,1.582,31.51,183.9,0.002,10,10,2479.785,3.955
SP_002,3,1.582,170.45,426.9,0.002,10,10,2479.785,3.955
OB_001,2,1.582,45.49,183.9,0.002,10,10,2479.785,3.955
OB_002,2,1.582,254.69,426.9,0.002,10,10,2479.785,3.955
WS_001,3,1.582,31.91,183.9,0.002,10,10,2479.785,3.955
WS_002,3,1.582,170.45,426.9,0.002,10,10,2479.785,3.955
YB_003,10,0.852,12.6,183.9,0.002,0.08,0.08,1335.51,0.7242
SB_003,7,0.852,21.6,183.9,0.002,0.08,0.08,1335.51,0.7242
SP_003,12,0.852,9,183.9,0.002,0.08,0.08,1335.51,0.7242
SP_004,10,0.852,12.6,183.9,0.002,0.08,0.08,1335.51,0.7242
OB_003,7,0.852,21.6,183.9,0.002,0.08,0.08,1335.51,0.7242
WS_003,10,0.852,12.6,183.9,0.002,0.08,0.08,1335.51,0.7242
MB_001,8.6,0.55,1.67,5.56,0.002,1,1,870.1,0.01375
MB_002,8.6,0.55,1.97,5.22,0.002,1.2,1.2,870.1,0.01375
MB_003,8.6,0.55,1.58,5.56,0.002,1,1,870.1,0.01375
MB_004,8.6,0.55,1.97,5.22,0.002,1.2,1.2,870.1,0.01375
MB_005,9.8,0.562,1.77,5.56,0.002,1,1,889.084,0.01405
MB_006,18,0.562,2.17,5.22,0.002,1.4,1.4,889.084,0.01405
MS_001,9.8,0.562,1.87,5.56,0.002,1,1,889.084,0.01405
MS_002,18,0.562,2.17,5.22,0.002,1.4,1.4,889.084,0.01405
SB_004,9.8,0.562,1.87,5.56,0.002,1,1,889.084,0.01405
SB_005,18,0.562,2.17,5.22,0.002,1.4,1.4,889.084,0.01405
