Code,Copert_V_name,EFbase
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,0.0075
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,0.0075
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,0.0075
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,0.0075
PCG_48,Passenger Cars_Petrol_Mini_Euro 6 2020+,0.0075
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,0.0075
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,0.0075
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,0.0075
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,0.0075
PCG_5,Passenger Cars_Petrol_Small_ECE 15/04,0.0075
PCG_6,Passenger Cars_Petrol_Small_Improved Conventional,0.0075
PCG_7,Passenger Cars_Petrol_Small_Open Loop,0.0075
PCG_8,Passenger Cars_Petrol_Small_Euro 1,0.0075
PCG_9,Passenger Cars_Petrol_Small_Euro 2,0.0075
PCG_10,Passenger Cars_Petrol_Small_Euro 3,0.0075
PCG_11,Passenger Cars_Petrol_Small_Euro 4,0.0075
PCG_12,Passenger Cars_Petrol_Small_Euro 5,0.0075
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,0.0075
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,0.0075
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,0.0075
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,0.0075
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,0.0075
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,0.0075
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,0.0075
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,0.0075
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,0.0075
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,0.0075
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,0.0075
PCG_24,Passenger Cars_Petrol_Medium_Euro 2,0.0075
PCG_25,Passenger Cars_Petrol_Medium_Euro 3,0.0075
PCG_26,Passenger Cars_Petrol_Medium_Euro 4,0.0075
PCG_27,Passenger Cars_Petrol_Medium_Euro 5,0.0075
PCG_28,Passenger Cars_Petrol_Medium_Euro 6 up to 2016,0.0075
PCG_29,Passenger Cars_Petrol_Medium_Euro 6 2017-2019,0.0075
PCG_30,Passenger Cars_Petrol_Medium_Euro 6 2020+,0.0075
PCG_31,Passenger Cars_Petrol_Large-SUV-Executive_PRE ECE,0.0075
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,0.0075
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,0.0075
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,0.0075
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,0.0075
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,0.0075
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,0.0075
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,0.0075
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,0.0075
