Code,Copert_V_name,Mode,Tmin,Tmax,Min.Speed,Max.Speed,A,B,C,bc,ltrip
PCD_1,Passenger Cars_Diesel_Small_Conventional,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_2,Passenger Cars_Diesel_Small_Euro 1,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_3,Passenger Cars_Diesel_Small_Euro 2,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_4,Passenger Cars_Diesel_Small_Euro 3,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_5,Passenger Cars_Diesel_Small_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_6,Passenger Cars_Diesel_Small_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_7,Passenger Cars_Diesel_Small_Euro 6 up to 2016,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_8,Passenger Cars_Diesel_Small_Euro 6 2017-2019,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_9,Passenger Cars_Diesel_Small_Euro 6 2020+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_10,Passenger Cars_Diesel_Medium_Conventional,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_11,Passenger Cars_Diesel_Medium_Euro 1,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_12,Passenger Cars_Diesel_Medium_Euro 2,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_13,Passenger Cars_Diesel_Medium_Euro 3,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_14,Passenger Cars_Diesel_Medium_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_15,Passenger Cars_Diesel_Medium_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_16,Passenger Cars_Diesel_Medium_Euro 6 up to 2016,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_17,Passenger Cars_Diesel_Medium_Euro 6 2017-2019,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_18,Passenger Cars_Diesel_Medium_Euro 6 2020+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_19,Passenger Cars_Diesel_Large-SUV-Executive_Conventional,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_20,Passenger Cars_Diesel_Large-SUV-Executive_Euro 1,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_21,Passenger Cars_Diesel_Large-SUV-Executive_Euro 2,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_22,Passenger Cars_Diesel_Large-SUV-Executive_Euro 3,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_23,Passenger Cars_Diesel_Large-SUV-Executive_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_24,Passenger Cars_Diesel_Large-SUV-Executive_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_25,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 up to 2016,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_26,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2017-2019,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_27,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2020+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_28,Passenger Cars_Diesel_Mini_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_29,Passenger Cars_Diesel_Mini_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_30,Passenger Cars_Diesel_Mini_Euro 6 up to 2016,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_31,Passenger Cars_Diesel_Mini_Euro 6 2017-2019,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
PCD_32,Passenger Cars_Diesel_Mini_Euro 6 2020+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_1,Light Commercial Vehicles_Diesel_N1-I_Conventional,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_2,Light Commercial Vehicles_Diesel_N1-I_Euro 1,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_3,Light Commercial Vehicles_Diesel_N1-I_Euro 2,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_4,Light Commercial Vehicles_Diesel_N1-I_Euro 3,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_5,Light Commercial Vehicles_Diesel_N1-I_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_6,Light Commercial Vehicles_Diesel_N1-I_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_7,Light Commercial Vehicles_Diesel_N1-I_Euro 6 up to 2016,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_8,Light Commercial Vehicles_Diesel_N1-I_Euro 6 2017-2019,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_9,Light Commercial Vehicles_Diesel_N1-I_Euro 6 2020+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_10,Light Commercial Vehicles_Diesel_N1-II_Conventional,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_11,Light Commercial Vehicles_Diesel_N1-II_Euro 1,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_12,Light Commercial Vehicles_Diesel_N1-II_Euro 2,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_13,Light Commercial Vehicles_Diesel_N1-II_Euro 3,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_14,Light Commercial Vehicles_Diesel_N1-II_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_15,Light Commercial Vehicles_Diesel_N1-II_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_16,Light Commercial Vehicles_Diesel_N1-II_Euro 6 up to 2017,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_17,Light Commercial Vehicles_Diesel_N1-II_Euro 6 2018-2020,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_18,Light Commercial Vehicles_Diesel_N1-II_Euro 6 2021+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_19,Light Commercial Vehicles_Diesel_N1-III_Conventional,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_20,Light Commercial Vehicles_Diesel_N1-III_Euro 1,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_21,Light Commercial Vehicles_Diesel_N1-III_Euro 2,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_22,Light Commercial Vehicles_Diesel_N1-III_Euro 3,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_23,Light Commercial Vehicles_Diesel_N1-III_Euro 4,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_24,Light Commercial Vehicles_Diesel_N1-III_Euro 5,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_25,Light Commercial Vehicles_Diesel_N1-III_Euro 6 up to 2017,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_26,Light Commercial Vehicles_Diesel_N1-III_Euro 6 2018-2020,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
LDVD_27,Light Commercial Vehicles_Diesel_N1-III_Euro 6 2021+,Urban Off Peak,-10,30,,,0,-0.1,3.1,1,6.47
