Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
