Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,,,,5,130,5.50E-12,-0.033417612,5.109834522,-1.04E-07,0.001871536,-0.528830906,37.50573903,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,,,,5,130,0.000445266,-0.102075932,6.876928223,10.38384947,0.001621048,-0.437563056,30.33733277,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,,,,5,130,0.000851042,-0.179925714,11.29748761,16.90216992,0.00264282,-0.718982971,50.79368865,0,1,1,1 
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_48,Passenger Cars_Petrol_Mini_Euro 6 2020+,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,,,,10,130,5.11E-05,-0.011168842,0.781285089,15.31617818,1.86E-08,-0.000145353,0.034631454,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,,,,10,130,0.000194128,-0.020742314,0.988185431,16.37243892,6.09E-07,4.01E-05,0.044491353,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,,,,10,130,1.97E-05,-0.002738675,0.055209901,5.719321934,1.24E-06,-0.000228222,0.014719689,0,1,1,1 
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,,,,,10,130,1.38E-05,-0.003838486,0.344235374,4.703134868,-3.25E-06,0.000402946,0.010533482,0,1,1,1 
PCG_5,Passenger Cars_Petrol_Small_ECE 15/04,,,,,10,130,6.82E-06,-0.000785716,-0.016810142,4.96227077,1.12E-06,-0.000227815,0.016878781,0,1,1,1 
PCG_6,Passenger Cars_Petrol_Small_Improved Conventional,,,,,10,130,0.086340632,-10.24380383,507.9045185,3.19E-08,4.27E-14,-9.14E-12,34.84287017,0,1,1,1 
PCG_7,Passenger Cars_Petrol_Small_Open Loop,,,,,10,130,0.002350151,-0.31363076,14.87624736,6.04E-11,-2.42E-16,6.00E-15,0.831911831,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,,,,5,130,0.000527709,-0.079119828,8.693715335,3.44E-12,-0.000738169,0.100307823,0.779481244,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,,,,5,130,-6.49E-06,0.005877958,2.339936978,7.43E-13,-0.000974238,0.135279405,0.038660255,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,,,,5,130,7.22E-14,6.753294739,42.32724901,3.23E-07,-0.146573192,20.90033725,0.590294094,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,,,,5,130,5.50E-12,-0.033417612,5.109834522,-1.04E-07,0.001871536,-0.528830906,37.50573903,0,1,1,1 
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,,,,5,130,0.000445266,-0.102075932,6.876928223,10.38384947,0.001621048,-0.437563056,30.33733277,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,,,,5,130,0.000851042,-0.179925714,11.29748761,16.90216992,0.00264282,-0.718982971,50.79368865,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,,,,10,130,5.11E-05,-0.011168842,0.781285089,15.31617818,1.86E-08,-0.000145353,0.034631454,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,,,,10,130,0.000194128,-0.020742314,0.988185431,16.37243892,6.09E-07,4.01E-05,0.044491353,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,,,,10,130,1.97E-05,-0.002738675,0.055209901,5.719321934,1.24E-06,-0.000228222,0.014719689,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,,,,10,130,1.38E-05,-0.003838486,0.344235374,4.703134868,-3.25E-06,0.000402946,0.010533482,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,,,,10,130,6.82E-06,-0.000785716,-0.016810142,4.96227077,1.12E-06,-0.000227815,0.016878781,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,,,,10,130,0.000925777,-0.146170198,8.00308438,1.65E-10,-1.75E-15,1.09E-15,0.967373913,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,,,,10,130,0.010799586,-1.224840184,50.2774221,2.00E-12,-1.27E-17,5.14E-16,5.322615086,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,,,,5,130,0.000527709,-0.079119828,8.693715335,3.44E-12,-0.000738169,0.100307823,0.779481244,0,1,1,1 
PCG_24,Passenger Cars_Petrol_Medium_Euro 2,,,,,5,130,-6.49E-06,0.005877958,2.339936978,7.43E-13,-0.000974238,0.135279405,0.038660255,0,1,1,1 
PCG_25,Passenger Cars_Petrol_Medium_Euro 3,,,,,5,130,7.22E-14,6.753294739,42.32724901,3.23E-07,-0.146573192,20.90033725,0.590294094,0,1,1,1 
PCG_26,Passenger Cars_Petrol_Medium_Euro 4,,,,,5,130,5.50E-12,-0.033417612,5.109834522,-1.04E-07,0.001871536,-0.528830906,37.50573903,0,1,1,1 
PCG_27,Passenger Cars_Petrol_Medium_Euro 5,,,,,5,130,0.000445266,-0.102075932,6.876928223,10.38384947,0.001621048,-0.437563056,30.33733277,0,1,1,1 
PCG_28,Passenger Cars_Petrol_Medium_Euro 6 up to 2016,,,,,5,130,0.000851042,-0.179925714,11.29748761,16.90216992,0.00264282,-0.718982971,50.79368865,0,1,1,1 
