Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,,,,5,130,3.86E-05,-0.008580222,0.577346262,1.31E-12,2.70E-17,-1.31E-13,5.430520471,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,,,,5,130,-0.000314541,0.103056777,0.239056576,-0.339279149,0.034535828,1.986012746,1.26376326,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,,,,5,130,-0.000618305,0.138921401,0.19343893,-0.485843325,0.034166813,2.293105948,0.407899382,0,1,1,1 
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_48,Passenger Cars_Petrol_Mini_Euro 6 2020+,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,,,,10,130,-0.003393053,0.545312077,28.42893629,4.29E-10,-9.70E-15,1.77E-12,24.23609231,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,,,,10,130,-0.003393053,0.545312077,28.42893629,4.29E-10,-9.70E-15,1.77E-12,24.23609231,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,,,,10,130,0.011071168,-0.227574,90.9680935,-2.80E-11,-3.60E-16,5.55E-14,61.50648648,0,1,1,1 
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,,,,,10,130,0.010376238,-0.348641586,67.07200036,-3.38E-12,-7.26E-17,1.74E-14,41.50495072,0,1,1,1 
PCG_5,Passenger Cars_Petrol_Small_ECE 15/04,,,,,10,130,0.006734955,0.180524563,99.4273746,-9.77E-10,-3.72E-14,1.12E-11,69.43252416,0,1,1,1 
PCG_6,Passenger Cars_Petrol_Small_Improved Conventional,,,,,10,130,0.021162493,2.643803456,3.868384444,-58.09580217,0.005020418,1.274392181,23.22457787,0,1,1,1 
PCG_7,Passenger Cars_Petrol_Small_Open Loop,,,,,10,130,0.022412692,2.693855337,0.440038024,-63.7846821,0.00643573,1.633636475,29.77104834,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,,,,5,130,0.000544944,-0.058220501,3.055055809,-3.25E-12,-6.54E-16,7.62E-14,5.822050053,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,,,,5,130,0.000383087,-0.029202016,0.952859261,-3.49E-10,0.001488664,-0.078633738,3.360416167,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,,,,5,130,1.83E-05,-0.004181358,0.260842825,6.56E-12,0.000111409,-0.034236625,2.806280749,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,,,,5,130,3.86E-05,-0.008580222,0.577346262,1.31E-12,2.70E-17,-1.31E-13,5.430520471,0,1,1,1 
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,,,,5,130,-0.000314541,0.103056777,0.239056576,-0.339279149,0.034535828,1.986012746,1.26376326,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,,,,5,130,-0.000618305,0.138921401,0.19343893,-0.485843325,0.034166813,2.293105948,0.407899382,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,,,,10,130,-0.002513361,1.36349846,85.45428135,2.03E-09,-4.91E-14,1.80E-11,62.8340304,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,,,,10,130,-0.002513361,1.36349846,85.45428135,2.03E-09,-4.91E-14,1.80E-11,62.8340304,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,,,,10,130,0.014972268,-0.284473094,124.4944093,-1.68E-09,-1.82E-14,5.71E-12,74.86134053,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,,,,10,130,0.002069444,0.925849146,166.4154001,-0.375756712,0.000722439,-0.556160623,128.9551287,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,,,,10,130,0.008735899,1.534685006,175.1901961,9.43E-13,-1.78E-16,6.87E-14,118.0526928,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,,,,10,130,0.028581314,-0.161999349,160.4950693,5.80E-08,6.17E-13,-2.18E-10,115.7138207,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,,,,10,130,0.018885034,2.277633081,0.638651906,-53.58020621,0.006466297,1.641400277,29.91261916,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,,,,5,130,0.000544944,-0.058220501,3.055055809,-3.25E-12,-6.54E-16,7.62E-14,5.822050053,0,1,1,1 
PCG_24,Passenger Cars_Petrol_Medium_Euro 2,,,,,5,130,0.000383087,-0.029202016,0.952859261,-3.49E-10,0.001488664,-0.078633738,3.360416167,0,1,1,1 
PCG_25,Passenger Cars_Petrol_Medium_Euro 3,,,,,5,130,1.83E-05,-0.004181358,0.260842825,6.56E-12,0.000111409,-0.034236625,2.806280749,0,1,1,1 
PCG_26,Passenger Cars_Petrol_Medium_Euro 4,,,,,5,130,3.86E-05,-0.008580222,0.577346262,1.31E-12,2.70E-17,-1.31E-13,5.430520471,0,1,1,1 
PCG_27,Passenger Cars_Petrol_Medium_Euro 5,,,,,5,130,-0.000314541,0.103056777,0.239056576,-0.339279149,0.034535828,1.986012746,1.26376326,0,1,1,1 
PCG_28,Passenger Cars_Petrol_Medium_Euro 6 up to 2016,,,,,5,130,-0.000618305,0.138921401,0.19343893,-0.485843325,0.034166813,2.293105948,0.407899382,0,1,1,1 
PCG_29,Passenger Cars_Petrol_Medium_Euro 6 2017-2019,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_30,Passenger Cars_Petrol_Medium_Euro 6 2020+,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_31,Passenger Cars_Petrol_Large-SUV-Executive_PRE ECE,,,,,10,130,0.015353282,4.605984639,230.2992319,-3.28E-09,-3.95E-13,1.86E-10,153.5328213,0,1,1,1 
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,,,,,10,130,0.015353282,4.605984639,230.2992319,-3.28E-09,-3.95E-13,1.86E-10,153.5328213,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,,,,10,130,0.016384265,-0.29044834,139.2662552,-9.72E-10,-5.93E-15,1.81E-12,74.47393324,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,,,,10,130,0.01623684,-0.6185463,153.7529374,-6.40E-11,-9.31E-16,2.28E-13,55.2273482,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,,,,10,130,0.008024475,-0.422340814,73.21579681,-3.57E-09,-5.61E-14,1.35E-11,30.16720099,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,,,,5,130,0.000544944,-0.058220501,3.055055809,-3.25E-12,-6.54E-16,7.62E-14,5.822050053,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,,,,5,130,0.000383087,-0.029202016,0.952859261,-3.49E-10,0.001488664,-0.078633738,3.360416167,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,,,,5,130,1.83E-05,-0.004181358,0.260842825,6.56E-12,0.000111409,-0.034236625,2.806280749,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,,,,5,130,3.86E-05,-0.008580222,0.577346262,1.31E-12,2.70E-17,-1.31E-13,5.430520471,0,1,1,1 
PCG_40,Passenger Cars_Petrol_Large-SUV-Executive_Euro 5,,,,,5,130,-0.000314541,0.103056777,0.239056576,-0.339279149,0.034535828,1.986012746,1.26376326,0,1,1,1 
PCG_41,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 up to 2016,,,,,5,130,-0.000618305,0.138921401,0.19343893,-0.485843325,0.034166813,2.293105948,0.407899382,0,1,1,1 
PCG_42,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2017-2019,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_43,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2020+,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCD_28,Passenger Cars_Diesel_Mini_Euro 4,,,,,10,130,0.000562369,-0.076397361,4.198823205,6.25E-10,4.61E-15,-2.03E-12,3.789551629,0,1,1,1 
PCD_29,Passenger Cars_Diesel_Mini_Euro 5,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0,1,1,1 
PCD_30,Passenger Cars_Diesel_Mini_Euro 6 up to 2016,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.17630645,1,1,1 
PCD_31,Passenger Cars_Diesel_Mini_Euro 6 2017-2019,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.370710835,1,1,1 
PCD_32,Passenger Cars_Diesel_Mini_Euro 6 2020+,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.694345263,1,1,1 
PCD_1,Passenger Cars_Diesel_Small_Conventional,,,,,10,130,0.000356076,-0.049357079,3.236414184,8.29E-11,4.58E-16,-3.82E-13,3.525505647,0,1,1,1 
PCD_2,Passenger Cars_Diesel_Small_Euro 1,,,,,10,120,0.000436129,-0.006386918,3.199254481,5.43E-12,-0.000519841,0.145919642,1.03348181,0,1,1,1 
PCD_3,Passenger Cars_Diesel_Small_Euro 2,,,,,10,120,0.000129115,-0.012481156,2.580260924,3.96E-11,-0.000537981,0.082526262,1.075961693,0,1,1,1 
