Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Urban Peak,,,10,130,0,0,0.00128,0,0,0,1,0,1,1,1 
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Urban Off Peak,,,10,130,0,0,0.00128,0,0,0,1,0,1,1,1 
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Rural,,,10,130,0,0,0.000836,0,0,0,1,0,1,1,1 
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,Highway,,,10,130,0,0,0.00119,0,0,0,1,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,,,,10,130,5.73E-07,-0.000125895,0.006907195,0.064229411,0.000329757,-0.087766409,6.011921291,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,,,,10,130,7.36E-07,-0.000158132,0.009284705,0.04108643,0.000268768,-0.077925014,6.021053229,0,1,1,1 
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,,,,,10,130,5.60E-07,-0.000116929,0.007459511,0.007401749,9.33E-05,-0.034887675,3.505106497,0,1,1,1 
PCG_48,Passenger Cars_Petrol_Mini_Euro 6 2020+,,,,,10,130,5.60E-07,-0.000116929,0.007459511,0.007401749,9.33E-05,-0.034887675,3.505106497,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
