Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_44,Passenger Cars_Petrol_Mini_Euro 4,,,,,5,130,3.55E-06,-0.000139315,0.047375268,-9.10E-14,-6.44E-15,7.73E-13,4.014853242,0,1,1,1 
PCG_45,Passenger Cars_Petrol_Mini_Euro 5,,,,,5,130,3.81E-06,-0.000707365,0.045249198,0.173073521,6.99E-05,-0.047538169,6.212053482,0,1,1,1 
PCG_46,Passenger Cars_Petrol_Mini_Euro 6 up to 2016,,,,,5,130,3.99E-06,-0.00080448,0.048245967,0.025665557,0.000310577,-0.083680744,6.352914552,0,1,1,1 
PCG_47,Passenger Cars_Petrol_Mini_Euro 6 2017-2019,,,,,5,130,4.38E-06,-0.000872099,0.05381474,-0.092517798,0.000290535,-0.077103779,5.935114479,0,1,1,1 
PCG_48,Passenger Cars_Petrol_Mini_Euro 6 2020+,,,,,5,130,4.38E-06,-0.000872099,0.05381474,-0.092517798,0.000290535,-0.077103779,5.935114479,0,1,1,1 
PCG_1,Passenger Cars_Petrol_Small_PRE ECE,,,,,10,130,2.86E-05,0.026974973,1.10092497,3.060898807,0.000168684,0.015067603,0.10547165,0,1,1,1 
PCG_2,Passenger Cars_Petrol_Small_ECE 15/00-01,,,,,10,130,7.11E-05,-0.002939052,-0.140200076,7.9801037,8.92E-05,-0.007666837,0.193880959,0,1,1,1 
PCG_3,Passenger Cars_Petrol_Small_ECE 15/02,,,,,10,130,2.26E-05,-0.001976367,-0.013601079,4.937329683,2.64E-05,-0.003180605,0.120636181,0,1,1,1 
PCG_4,Passenger Cars_Petrol_Small_ECE 15/03,,,,,10,130,2.26E-05,-0.001976367,-0.013601079,4.937329683,2.64E-05,-0.003180605,0.120636181,0,1,1,1 
PCG_5,Passenger Cars_Petrol_Small_ECE 15/04,,,,,10,130,9.98E-06,-0.001670927,0.067180129,2.790024307,6.69E-06,-0.001232134,0.09633248,0,1,1,1 
PCG_6,Passenger Cars_Petrol_Small_Improved Conventional,,,,,10,130,0.000339833,-0.057484236,3.700970381,5.81E-13,-4.03E-17,-3.00E-16,1.690712828,0,1,1,1 
PCG_7,Passenger Cars_Petrol_Small_Open Loop,,,,,10,130,0.000445404,-0.073596067,3.801593532,4.37E-13,-2.68E-17,3.75E-16,1.73985974,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,,,,5,130,8.25E-18,-0.009250329,1.843756507,1.89E-13,-0.001735291,0.243068135,1.366370657,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,,,,5,130,2.72E-12,-0.007244862,2.047845392,0.90470352,-0.005129504,0.826484534,0.365556608,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,,,,5,130,0.000182479,-0.016058173,0.813127485,-4.52E-11,-0.002744488,0.533185225,14.59833905,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,,,,5,130,3.55E-06,-0.000139315,0.047375268,-9.10E-14,-6.44E-15,7.73E-13,4.014853242,0,1,1,1 
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,,,,5,130,3.81E-06,-0.000707365,0.045249198,0.173073521,6.99E-05,-0.047538169,6.212053482,0,1,1,1 
PCG_13,Passenger Cars_Petrol_Small_Euro 6 up to 2016,,,,,5,130,3.99E-06,-0.00080448,0.048245967,0.025665557,0.000310577,-0.083680744,6.352914552,0,1,1,1 
PCG_14,Passenger Cars_Petrol_Small_Euro 6 2017-2019,,,,,5,130,4.38E-06,-0.000872099,0.05381474,-0.092517798,0.000290535,-0.077103779,5.935114479,0,1,1,1 
PCG_15,Passenger Cars_Petrol_Small_Euro 6 2020+,,,,,5,130,4.38E-06,-0.000872099,0.05381474,-0.092517798,0.000290535,-0.077103779,5.935114479,0,1,1,1 
PCG_16,Passenger Cars_Petrol_Medium_PRE ECE,,,,,10,130,2.86E-05,0.026974973,1.10092497,3.060898807,0.000168684,0.015067603,0.10547165,0,1,1,1 
PCG_17,Passenger Cars_Petrol_Medium_ECE 15/00-01,,,,,10,130,7.11E-05,-0.002939052,-0.140200076,7.9801037,8.92E-05,-0.007666837,0.193880959,0,1,1,1 
PCG_18,Passenger Cars_Petrol_Medium_ECE 15/02,,,,,10,130,2.26E-05,-0.001976367,-0.013601079,4.937329683,2.64E-05,-0.003180605,0.120636181,0,1,1,1 
PCG_19,Passenger Cars_Petrol_Medium_ECE 15/03,,,,,10,130,2.26E-05,-0.001976367,-0.013601079,4.937329683,2.64E-05,-0.003180605,0.120636181,0,1,1,1 
PCG_20,Passenger Cars_Petrol_Medium_ECE 15/04,,,,,10,130,9.98E-06,-0.001670927,0.067180129,2.790024307,6.69E-06,-0.001232134,0.09633248,0,1,1,1 
PCG_21,Passenger Cars_Petrol_Medium_Improved Conventional,,,,,10,130,0.000331878,-0.052728311,3.100114509,3.24E-13,-5.25E-18,-4.36E-16,1.550832671,0,1,1,1 
PCG_22,Passenger Cars_Petrol_Medium_Open Loop,,,,,10,130,0.00020716,-0.033480461,1.690763257,3.09E-13,-2.91E-17,6.82E-17,2.092528783,0,1,1,1 
PCG_23,Passenger Cars_Petrol_Medium_Euro 1,,,,,5,130,8.25E-18,-0.009250329,1.843756507,1.89E-13,-0.001735291,0.243068135,1.366370657,0,1,1,1 
PCG_24,Passenger Cars_Petrol_Medium_Euro 2,,,,,5,130,2.72E-12,-0.007244862,2.047845392,0.90470352,-0.005129504,0.826484534,0.365556608,0,1,1,1 
PCG_25,Passenger Cars_Petrol_Medium_Euro 3,,,,,5,130,0.000182479,-0.016058173,0.813127485,-4.52E-11,-0.002744488,0.533185225,14.59833905,0,1,1,1 
PCG_26,Passenger Cars_Petrol_Medium_Euro 4,,,,,5,130,3.55E-06,-0.000139315,0.047375268,-9.10E-14,-6.44E-15,7.73E-13,4.014853242,0,1,1,1 
