"Code","Class","F001","F002","F003"
"BBIO_5","heavy_veh",,,
"BCNG_1","heavy_veh",,,
"BCNG_2","heavy_veh",,,
"BCNG_3","heavy_veh",,,
"BCNG_4","heavy_veh",,,0.0502248875562219
"BCNG_4","heavy_veh",,,
"BCNG_5","heavy_veh",,,0.00239880059970015
"BD_1","heavy_veh",,,
"BD_10","heavy_veh",,,0.00104947526236882
"BD_11","heavy_veh",,,0.00494752623688156
"BD_12","heavy_veh",,,0.000749625187406297
"BD_13","heavy_veh",,,
"BD_14","heavy_veh",,,0.00269865067466267
"BD_15","heavy_veh",,,
"BD_16","heavy_veh",,,
"BD_17","heavy_veh",,,0.00134932533733133
"BD_18","heavy_veh",,,0.0157421289355322
"BD_19","heavy_veh",,,0.000449775112443778
"BD_2","heavy_veh",,,
"BD_20","heavy_veh",,,
"BD_21","heavy_veh",,,
"BD_22","heavy_veh",0.00283758423436557,0.00451074343041102,
"BD_23","heavy_veh",0.000394222990592033,0.000527813131691248,
"BD_24","heavy_veh",0.00215180049031484,0.00230590701504829,0.000749625187406297
"BD_25","heavy_veh",0.00347409010459229,0.00502732649547054,0.00839580209895053
"BD_26","heavy_veh",0.00262815327061355,0.00435352249756682,0.00224887556221889
"BD_27","heavy_veh",0.00100198343442142,0.00211873923785281,0.00524737631184408
"BD_28","heavy_veh",0.000981450986994748,0.000756157819869731,0.00209895052473763
"BD_29","heavy_veh",0.000349051606253362,0.000505352998427791,
"BD_3","heavy_veh",,,0.00329835082458771
"BD_30","heavy_veh",5.74908527946714e-05,0.000119787377405106,
"BD_31","heavy_veh",0.000837723855008069,0.000801078086396646,0.00104947526236882
"BD_32","heavy_veh",0.00289096859767491,0.00362356816650445,0.0106446776611694
"BD_33","heavy_veh",0.00193826303707749,0.00239574754810212,0.0124437781109445
"BD_34","heavy_veh",0.00166723473104547,0.00524444111701729,0.00914542728635682
"BD_35","heavy_veh",0.00130175716685077,0.00199895186044771,0.00239880059970015
"BD_4","heavy_veh",,,0.0160419790104948
"BD_5","heavy_veh",,,0.0179910044977511
"BD_6","heavy_veh",,,0.00134932533733133
"BD_7","heavy_veh",,,0.000749625187406297
"BD_8","heavy_veh",,,
"BD_9","heavy_veh",,,
"BE_1","heavy_veh",,,0.000449775112443778
"BH_1","heavy_veh",,,0.0157421289355322
"BH_2","heavy_veh",,,0.0103448275862069
"HDVD_1","heavy_veh",0.0756784947252143,0.0693082278954855,0.00546541417591802
"HDVD_10","heavy_veh",0.00626650295461919,0.00576102418207681,0.00956447480785653
"HDVD_11","heavy_veh",0.00844704887133137,0.00853110728456989,0.0174210076857387
"HDVD_12","heavy_veh",0.0044021567282777,0.00388185969903421,0.0117847993168232
"HDVD_13","heavy_veh",0.00333446946209094,0.00259040203638542,0.0093936806148591
"HDVD_14","heavy_veh",0.00189309165273882,0.00164707643932021,0.00392826643894108
"HDVD_15","heavy_veh",0.0032810850987816,0.00351501085573108,0.000341588385994876
"HDVD_16","heavy_veh",0.000414755438018701,0.000321928576776222,
"HDVD_17","heavy_veh",0.00125247929302677,0.000958299019240848,0.00102476515798463
"HDVD_18","heavy_veh",0.0016097438782508,0.00147862543984428,0.00392826643894108
"HDVD_19","heavy_veh",0.000706316191477392,0.000816051508572284,0.00426985482493595
"HDVD_2","heavy_veh",0.023949046678466,0.0142546979112076,0.00700256191289496
"HDVD_20","heavy_veh",0.000188898516325349,0.000310698510144494,0.00239111870196413
"HDVD_21","heavy_veh",0.000312093200885359,0.000160964288388111,0.00102476515798463
"HDVD_22","heavy_veh",0.0106974051092942,0.0111477128097627,0.000341588385994876
"HDVD_23","heavy_veh",0.00140441940398412,0.00138504155124654,0.0013663535439795
"HDVD_24","heavy_veh",0.00613509529108851,0.00590327169274538,0.00307429547395389
"HDVD_25","heavy_veh",0.00975291252766747,0.0104477053230516,0.00956447480785653
"HDVD_26","heavy_veh",0.00483744461372307,0.00543160889421277,0.00461144321093083
"HDVD_27","heavy_veh",0.00223803676950685,0.00290858725761773,0.00290350128095645
"HDVD_28","heavy_veh",0.0016713412205308,0.00168825335030321,0.00170794192997438
"HDVD_29","heavy_veh",0.00319895530907493,0.00464924758553567,
"HDVD_3","heavy_veh",0.15371411441501,0.128823837688104,0.04133219470538
"HDVD_30","heavy_veh",0.00052563065412271,0.000452946020813057,
"HDVD_31","heavy_veh",0.00399561426922966,0.00301714456839111,0.000170794192997438
"HDVD_32","heavy_veh",0.00776947810625131,0.0070075615781987,0.000170794192997438
"HDVD_33","heavy_veh",0.00403257267459767,0.00416635472037134,
"HDVD_34","heavy_veh",0.00175347101023748,0.0016433330837763,
"HDVD_35","heavy_veh",0.00146191025677879,0.000804821441940555,0.000170794192997438
"HDVD_36","heavy_veh",7.39168107360061e-05,5.9893688702553e-05,
"HDVD_37","heavy_veh",,3.74335554390956e-06,
"HDVD_38","heavy_veh",2.4638936912002e-05,4.11769109830052e-05,0.00307429547395389
"HDVD_39","heavy_veh",2.87454263973357e-05,4.86636220708243e-05,0.0035866780529462
"HDVD_4","heavy_veh",0.29474738929931,0.264632776821142,0.153543979504697
"HDVD_40","heavy_veh",3.28519158826694e-05,2.99468443512765e-05,0.0035866780529462
"HDVD_41","heavy_veh",8.21297897066735e-06,6.36370442464625e-05,0.00102476515798463
"HDVD_42","heavy_veh",1.2319468456001e-05,0.000142247510668563,0.00102476515798463
"HDVD_43","heavy_veh",0.000160153089928013,0.000310698510144494,
"HDVD_44","heavy_veh",1.2319468456001e-05,7.48671108781912e-06,
"HDVD_45","heavy_veh",0.000258708837576021,0.000164707643932021,
"HDVD_46","heavy_veh",0.00102662237133342,0.00115295350752414,0.000512382578992314
"HDVD_47","heavy_veh",0.00064882533868272,0.000658830575728083,
"HDVD_48","heavy_veh",0.000217643942722685,0.000116044021861196,
"HDVD_49","heavy_veh",9.44492581626745e-05,2.62034888073669e-05,
"HDVD_5","heavy_veh",0.148634386921652,0.132503556187767,0.243552519214347
"HDVD_50","heavy_veh",0.00147422972523479,0.00154600583963465,0.000170794192997438
"HDVD_51","heavy_veh",8.21297897066735e-06,2.99468443512765e-05,
"HDVD_52","heavy_veh",5.33843633093377e-05,0.000108557310773377,
"HDVD_53","heavy_veh",9.44492581626745e-05,0.000116044021861196,0.0013663535439795
"HDVD_54","heavy_veh",8.21297897066735e-06,4.11769109830052e-05,0.00119555935098207
"HDVD_55","heavy_veh",8.21297897066735e-06,2.24601332634574e-05,
"HDVD_56","heavy_veh",4.10648948533367e-06,7.48671108781912e-06,
"HDVD_57","heavy_veh",0.000225856921693352,0.000153477577300292,0.000341588385994876
"HDVD_58","heavy_veh",6.15973422800051e-05,4.86636220708243e-05,0.00119555935098207
"HDVD_59","heavy_veh",0.000291560753458691,0.00034064535449577,0.0157130657557643
"HDVD_6","heavy_veh",0.0800354800691533,0.111211349854009,0.103501280956447
"HDVD_60","heavy_veh",0.000636505870226719,0.00067754735344763,0.0391118701964133
"HDVD_61","heavy_veh",0.000102662237133342,0.000131017444036835,0.0210076857386849
"HDVD_62","heavy_veh",0.000143727131986679,0.000460432731900876,0.0172502134927412
"HDVD_63","heavy_veh",0.000258708837576021,0.000101070599685558,0.0128095644748079
"HDVD_64","heavy_veh",9.44492581626745e-05,8.98405330538295e-05,
"HDVD_65","heavy_veh",1.64259579413347e-05,2.62034888073669e-05,0.000170794192997438
"HDVD_66","heavy_veh",0.000131407663530678,0.000321928576776222,0.00119555935098207
"HDVD_67","heavy_veh",0.000394222990592033,0.000464176087444786,0.00307429547395389
"HDVD_68","heavy_veh",0.000102662237133342,0.000131017444036835,0.00239111870196413
"HDVD_69","heavy_veh",6.15973422800051e-05,0.000273264954705398,0.00239111870196413
"HDVD_7","heavy_veh",0.0502059404476895,0.108781912106012,0.0165670367207515
"HDVD_70","heavy_veh",6.98103212506724e-05,8.23538219660103e-05,0.00153714773697694
"HDVD_71","heavy_veh",4.10648948533367e-06,7.48671108781912e-06,
"HDVD_72","heavy_veh",,,
"HDVD_73","heavy_veh",8.21297897066735e-06,8.23538219660103e-05,0.000170794192997438
"HDVD_74","heavy_veh",0.000127301174045344,0.000404282398742233,0.000341588385994876
"HDVD_75","heavy_veh",6.98103212506724e-05,0.000104813955229468,
"HDVD_76","heavy_veh",6.98103212506724e-05,5.24069776147338e-05,
"HDVD_77","heavy_veh",4.10648948533367e-06,1.12300666317287e-05,
"HDVD_78","heavy_veh",2.4638936912002e-05,4.11769109830052e-05,
"HDVD_79","heavy_veh",,,
"HDVD_8","heavy_veh",0.0117445599280543,0.0112862169648873,0.00119555935098207
"HDVD_80","heavy_veh",,1.12300666317287e-05,0.000341588385994876
"HDVD_81","heavy_veh",8.21297897066735e-06,2.24601332634574e-05,0.000170794192997438
"HDVD_82","heavy_veh",,,
"HDVD_83","heavy_veh",,,
"HDVD_84","heavy_veh",,7.48671108781912e-06,
"HDVD_85","heavy_veh",,,
"HDVD_86","heavy_veh",,,
"HDVD_87","heavy_veh",,3.74335554390956e-06,0.000170794192997438
"HDVD_88","heavy_veh",4.10648948533367e-06,7.48671108781912e-06,0.000170794192997438
"HDVD_89","heavy_veh",,,
"HDVD_9","heavy_veh",0.00151529462008813,0.00159466946170547,0.00273270708795901
"HDVD_90","heavy_veh",,,
"HDVD_91","heavy_veh",,,0.000170794192997438
"HDVD_92","heavy_veh",,,
"HDVD_93","heavy_veh",,,
"HDVD_94","heavy_veh",,,
"HDVD_95","heavy_veh",,,
"HDVD_96","heavy_veh",,,
"HDVD_97","heavy_veh",,,
"HDVD_98","heavy_veh",,,
"HDVE_1","heavy_veh",0.00459516173408838,0.00339896683386988,
"HDVG_1","heavy_veh",0.0339237096383415,0.0205323051583439,0.000683176771989752
"LDVD_10","light_veh",0.0032427220990472,0.00233286192378864,0.000691881918819188
"LDVD_11","light_veh",0.00164766446987896,0.0010487581787705,0.00112430811808118
"LDVD_12","light_veh",0.00785502870537593,0.00404442664630771,0.00804312730627305
"LDVD_13","light_veh",0.0207990565296077,0.0156236087072695,0.0329652905904059
"LDVD_14","light_veh",0.0172115562235837,0.0155046338578623,0.0489938883763838
"LDVD_15","light_veh",0.0145690193086284,0.0265088608605457,0.0688999077490775
"LDVD_16","light_veh",0.00463201294042519,0.00942413519710791,0.00983048892988929
"LDVE_1","light_veh",0.000162613625385313,0.000181434367366474,
"LDVG_10","light_veh",0.00361245026308984,0.00235105172410808,0.000547739852398524
"LDVG_11","light_veh",0.000641074703899001,0.000347930013158735,7.2071033210332e-05
"LDVG_12","light_veh",0.00145880035925288,0.000732951964546406,0.000504497232472325
"LDVG_13","light_veh",0.0028808751738274,0.00192565486403322,0.00112430811808118
"LDVG_14","light_veh",0.00165414692686095,0.00114059773635408,0.00123962177121771
"LDVG_15","light_veh",0.000657122802666535,0.000609914271698624,0.00040359778597786
"LDVG_16","light_veh",0.000118818386698402,0.000113362979905493,0.000158556273062731
"PCD_1","light_veh",5.04433559195839e-05,5.49700573530383e-05,
"PCD_10","light_veh",0.00126449992660718,0.00118257741460079,0.000172970479704797
"PCD_11","light_veh",0.00183463510288112,0.00177346546550648,0.00178736162361624
"PCD_12","light_veh",0.0361740110536791,0.0337121198741636,0.0222267066420664
"PCD_13","light_veh",0.134688612817736,0.140492124936424,0.0859807426199262
"PCD_14","light_veh",0.14067611962343,0.151939024459727,0.130419741697417
"PCD_15","light_veh",0.116053395249452,0.160328412927983,0.146174469557196
"PCD_16","light_veh",,,0.086182541512915
"PCD_17","light_veh",,,0.0152790590405904
"PCD_19","light_veh",0.000739228592844106,0.000879921574043314,0.000172970479704797
"PCD_2","light_veh",3.05165223170395e-05,2.80459476291012e-05,
"PCD_20","light_veh",0.000333290525455129,0.000424856040941413,0.000735124538745386
"PCD_21","light_veh",0.00381993801334641,0.00429402030434417,0.00390625
"PCD_22","light_veh",0.0211212066888253,0.0220136756703798,0.0153799584870849
"PCD_23","light_veh",0.020141971048101,0.026010516664886,0.0178159594095941
"PCD_24","light_veh",0.0123041618689205,0.0164486065875426,0.0130880996309963
"PCD_25","light_veh",,,0.0111710101476015
"PCD_26","light_veh",,,0.00177294741697417
"PCD_3","light_veh",6.74797037687923e-05,0.000119749898432934,
"PCD_4","light_veh",0.0119498759060389,0.0120753495802083,
"PCD_5","light_veh",0.0156027918271909,0.0167038909063718,0.0103782287822878
"PCD_6","light_veh",0.0081737986338233,0.0142812002109055,0.00853321033210331
"PCD_7","light_veh",,,0.00172970479704797
"PCD_8","light_veh",,,0.000331526752767528
"PCE_1","light_veh",5.56009117242521e-05,0.000121134909969935,
"PCG_1","light_veh",0.00645367513195092,0.00496445325546667,
"PCG_10","light_veh",0.0511877652987506,0.0327951425415657,0.0234807426199262
"PCG_11","light_veh",0.0453621546381834,0.0335547559781994,0.0278626614391144
"PCG_12","light_veh",0.0501827513997071,0.0454616288744418,0.027776176199262
"PCG_13","light_veh",,,0.028871655904059
"PCG_14","light_veh",,,0.00642873616236162
"PCG_16","light_veh",0.0010119415441475,0.000936654519533039,
"PCG_17","light_veh",0.00164060467740263,0.00162193721703039,
"PCG_18","light_veh",0.00068855750168335,0.000673022611819488,
"PCG_19","light_veh",0.00114972136505652,0.00118313833355337,
"PCG_2","light_veh",0.00664770555742941,0.00531430641931997,
"PCG_20","light_veh",0.00513178592456842,0.00475282654778537,0.00134052121771218
"PCG_21","light_veh",,,
"PCG_22","light_veh",,,
"PCG_23","light_veh",0.0040972985915449,0.00369052618287395,0.0038197647601476
"PCG_24","light_veh",0.0317663150408393,0.0221225320028382,0.0163745387453875
"PCG_25","light_veh",0.0682711987419698,0.0514545914828876,0.0342481549815498
"PCG_26","light_veh",0.0425484377491556,0.0354794331870301,0.028641028597786
"PCG_27","light_veh",0.0203626305020138,0.0190203007262043,0.0119926199261993
"PCG_28","light_veh",,,0.00870618081180811
"PCG_29","light_veh",,,0.0020179889298893
"PCG_3","light_veh",0.00148768046295568,0.00131495428741014,
"PCG_31","light_veh",0.00021407112670162,0.000261548494461104,
"PCG_32","light_veh",0.000183440736763995,0.000259304818650775,
"PCG_33","light_veh",6.61570875604476e-05,7.67657652247969e-05,
"PCG_34","light_veh",0.000274534833232769,0.00037982226217697,
"PCG_35","light_veh",0.000537113566304012,0.000611802314709107,0.000418011992619926
"PCG_36","light_veh",0.00134910356870255,0.00173756665254123,0.000677467712177122
"PCG_37","light_veh",0.00458373002267144,0.00495539761695365,0.0021477167896679
"PCG_38","light_veh",0.0112728868214476,0.0125250913412161,0.00524677121771218
"PCG_39","light_veh",0.00690833254616787,0.00777855067686731,0.00294049815498155
"PCG_4","light_veh",0.00210313495222283,0.0019250738452615,
"PCG_40","light_veh",0.00203634911736611,0.0028030618167043,0.000677467712177122
"PCG_41","light_veh",,,0.000663053505535055
"PCG_42","light_veh",,,0.000187384686346863
"PCG_5","light_veh",0.00343789120073155,0.00314819768700608,0.000965751845018449
"PCG_6","light_veh",,,
"PCG_7","light_veh",,,
"PCG_8","light_veh",0.00261087067241567,0.00195760714451126,0.00229185885608856
"PCG_9","light_veh",0.0196763644433842,0.0113684405493151,0.00942689114391143
"PCH_1","light_veh",,,
"PCH_11","light_veh",3.80828162494877e-06,9.64791318344618e-06,0.00109547970479705
"PCH_12","light_veh",6.8168241086583e-05,0.000197782220260647,
"PCH_16","light_veh",7.61656324989754e-07,4.55595900329403e-06,0.000288284132841328
"PCH_17","light_veh",3.80828162494877e-07,3.21597106114873e-06,
"PCH_6","light_veh",6.09325059991803e-06,4.01996382643591e-06,0.000158556273062731
"PCH_7","light_veh",0.000204123895097254,0.000380556575569266,
"PCLPG_11","light_veh",1.37098138498156e-05,2.6799758842906e-07,
"PCLPG_12","light_veh",,,
"PCLPG_13","light_veh",,4.01996382643591e-06,
"PCLPG_14","light_veh",1.52331264997951e-06,2.6799758842906e-06,
"PCLPG_15","light_veh",2.66579713746414e-06,7.50393247601369e-06,
"PCLPG_16","light_veh",5.40775990742725e-05,0.000157850579584717,
"PCLPG_18","light_veh",7.61656324989754e-07,1.07199035371624e-06,
"PCLPG_20","light_veh",7.61656324989754e-07,6.96793729915557e-06,
"PCLPG_21","light_veh",7.61656324989754e-07,4.55595900329403e-06,
"PCLPG_22","light_veh",7.61656324989754e-07,3.21597106114873e-06,
"PCLPG_23","light_veh",,2.6799758842906e-06,
"PCLPG_4","light_veh",4.56993794993852e-06,,
"PCLPG_5","light_veh",,,
"PCLPG_6","light_veh",,,
"PCLPG_7","light_veh",3.80828162494877e-07,,
"PCLPG_8","light_veh",4.9507661124334e-06,2.94797347271966e-06,1.44142066420664e-05
"PCLPG_9","light_veh",0.000162994453547807,0.000304177262866984,0.00340175276752768
"M_1","mopeds",,,
"M_2","mopeds",0.471480796335447,0.449165892896266,0.471480796335447
"M_3","mopeds",0.502136187455955,0.517636748703717,0.502136187455955
"M_4","mopeds",0.0236246916842847,0.0296919176638741,0.0236246916842847
"ME_1","mopeds",0.0027583245243129,0.00350544073614255,0.0027583245243129
"M_13","motos",,,
"M_14","motos",,,
"M_15","motos",,,
"M_16","motos",,,
"M_19","motos",0.227591751515544,0.183344444548775,0.0152905198776758
"M_20","motos",0.0675807516679307,0.0500255088467184,0.056405028882093
"M_21","motos",0.0894368183115935,0.0798567748679956,0.137274889568468
"M_22","motos",0.276437730878569,0.229995899805006,0.524294937138973
"M_25","motos",0.0763315858522342,0.087982046779782,0.00577641862045531
"M_26","motos",0.031093836757357,0.0378344710591962,0.018348623853211
"M_27","motos",0.030899412699219,0.0413118120044946,0.036697247706422
"M_28","motos",0.112226470747937,0.143372238236979,0.155283724091064
"M_31","motos",0.0160198417633386,0.0269141807278316,0.00169894665307509
"M_32","motos",0.0123818348376384,0.0184195782746004,0.00441726129799523
"M_33","motos",0.0118248361845943,0.0178812320616469,0.00883452259599048
"M_34","motos",0.0457789836350993,0.0795531726432486,0.035677879714577
"ME_2","motos",0.00239614514894459,0.00350864014372592,
